Date,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y
Y1-M04-D07,67.09,163.12,256.88,93.39,14.72,8.95,110.39,25.59,64.59,91.89,184.71,205.46,97.34,144.87,29.63,24.98,107.85,57.55,35.41,42.6,41.4,60.03,110.77,15.93,100.61
Y1-M04-D08,67.06,163.86,251.96,96.39,15.16,8.48,109.39,25.44,60.67,90.02,182.61,210.03,95.68,141.55,28.95,24.73,108.35,57.07,34.78,41.03,41.52,53.85,115.15,16.04,99.27
Y1-M04-D11,67.26,164.24,244.98,96.61,15.85,9.88,110.84,24.42,59.47,89.9,178.23,209.87,92.07,141.26,28.5,24.21,108.25,55.41,34.25,40.06,42.4,52.98,115.52,15.08,106.75
Y1-M04-D12,66.97,165.08,239.99,102.9,16.62,9.19,114.78,23.93,59.03,85.86,180.47,209.42,93.29,143.9,29.51,24.28,108.57,53.78,32.95,39.58,40.59,51.83,114.89,14.53,108.37
Y1-M04-D13,66.05,165.11,249.16,105.03,16.95,9.0,112.37,23.28,59.57,82.48,174.59,217.71,95.25,145.93,29.71,24.34,110.2,57.12,33.16,40.03,40.54,52.04,116.11,14.71,106.81
Y1-M04-D14,67.06,166.84,255.29,109.96,18.22,8.75,109.76,23.59,61.72,82.36,184.68,215.22,96.72,143.9,29.81,24.66,111.77,56.71,33.44,40.5,40.67,52.19,114.5,14.97,108.16
Y1-M04-D15,68.16,166.16,258.28,113.05,17.17,9.2,110.79,23.97,60.29,87.23,176.94,212.6,93.84,142.07,29.29,24.85,109.37,55.04,33.9,41.15,42.17,54.3,119.17,14.42,106.99
Y1-M04-D18,67.39,168.95,250.74,112.08,17.18,9.34,111.41,23.44,62.39,84.9,186.26,218.12,92.47,139.68,30.01,25.05,109.53,55.5,34.64,41.38,41.94,55.35,121.37,14.88,100.07
Y1-M04-D19,66.88,166.85,240.01,111.4,16.67,9.27,110.18,24.79,61.77,85.07,186.35,223.01,95.24,136.44,29.56,25.17,110.53,57.57,36.06,42.58,41.92,58.07,122.99,14.32,101.63
Y1-M04-D20,66.44,167.26,228.55,110.89,16.23,9.25,108.11,23.25,59.45,87.9,184.36,220.41,92.11,135.87,29.68,24.59,110.89,54.96,37.17,42.64,41.47,59.55,122.51,13.64,103.8
Y1-M04-D21,65.66,166.92,228.29,110.52,15.39,9.22,109.01,23.43,62.27,88.03,185.49,212.53,91.0,131.67,29.03,24.7,110.95,57.05,37.4,43.23,41.79,58.33,124.95,13.99,104.1
Y1-M04-D22,65.33,165.8,221.18,109.88,14.76,8.88,107.66,23.85,62.09,87.36,182.41,212.65,88.8,133.98,27.96,24.86,111.24,57.1,37.75,43.48,41.01,55.46,125.91,14.74,102.48
Y1-M04-D25,63.95,165.62,221.72,108.44,15.09,8.84,107.03,22.72,59.45,88.35,184.3,212.56,90.5,140.17,27.72,24.87,111.92,56.67,39.01,44.3,39.7,54.66,129.58,15.21,105.23
Y1-M04-D26,64.26,164.12,218.46,106.65,15.2,8.73,99.94,22.51,60.19,88.93,186.65,210.53,91.39,143.34,27.36,24.77,111.3,58.18,40.79,44.11,40.43,53.26,129.43,15.28,104.4
Y1-M04-D27,63.61,164.64,211.06,103.57,14.9,8.7,98.96,21.58,57.54,84.22,187.04,210.8,90.52,149.32,28.0,24.53,109.05,58.4,42.45,44.24,40.27,53.82,129.34,15.43,101.82
Y1-M04-D28,63.69,166.01,214.74,107.4,15.05,8.91,99.96,22.24,58.96,83.37,185.67,208.9,89.66,151.64,28.0,25.02,109.88,58.68,43.29,44.03,39.19,54.74,134.59,15.51,98.66
Y1-M04-D29,63.75,167.12,213.17,106.83,15.26,9.16,97.8,21.31,58.76,80.76,196.66,207.71,90.07,156.71,28.4,25.23,111.02,59.34,44.68,43.9,40.51,57.8,133.85,16.19,98.88
Y1-M05-D02,63.44,166.84,213.4,104.8,15.51,8.94,98.81,20.47,59.28,81.64,204.19,214.66,90.55,164.18,28.89,25.27,111.94,60.17,43.31,43.43,41.88,58.76,135.53,16.35,102.01
Y1-M05-D03,63.87,168.44,212.99,106.49,16.05,8.68,99.67,19.88,61.3,83.96,205.91,212.09,86.84,154.92,28.43,25.76,112.09,59.3,43.41,43.3,41.69,63.4,134.45,17.26,107.17
Y1-M05-D04,63.15,166.53,209.83,103.67,15.06,8.74,102.09,19.82,59.95,86.5,205.14,209.37,86.1,151.37,28.41,25.79,112.76,59.04,41.4,43.26,41.55,66.3,134.34,17.19,105.43
Y1-M05-D05,63.6,167.04,202.62,105.07,14.67,9.01,104.5,20.9,58.07,85.81,208.64,208.46,86.74,153.9,28.46,26.25,111.13,57.97,40.58,44.14,40.03,62.67,133.34,17.08,111.73
Y1-M05-D06,64.21,167.53,201.15,108.08,14.93,9.05,104.98,21.65,57.19,84.77,204.11,205.45,85.18,145.6,27.8,26.08,112.84,58.76,40.59,44.76,39.13,60.58,133.51,17.27,111.56
Y1-M05-D09,64.5,164.46,204.94,110.21,14.25,8.74,100.74,21.68,57.26,85.33,197.87,198.54,85.68,139.05,27.51,25.94,114.22,59.87,39.88,45.33,39.84,62.19,132.86,17.38,114.24
Y1-M05-D10,64.95,165.04,209.04,112.67,13.88,8.79,98.88,20.11,56.46,86.02,206.55,200.59,85.98,142.31,27.68,26.09,116.23,61.97,38.8,46.93,39.08,64.89,126.88,17.85,108.62
Y1-M05-D11,63.82,163.87,199.37,108.83,13.04,7.86,101.13,21.15,56.62,84.49,209.98,204.1,86.89,146.01,27.74,25.94,117.06,60.63,39.3,47.28,39.0,65.5,127.97,18.59,111.46
Y1-M05-D12,63.99,163.73,192.46,111.19,13.11,8.08,107.0,22.63,57.38,86.33,209.73,206.75,87.48,147.81,28.06,25.54,116.16,62.82,38.29,47.07,40.26,64.34,129.64,17.97,112.57
Y1-M05-D13,63.52,165.92,192.55,113.34,12.78,7.98,105.03,23.31,56.49,82.2,211.05,210.6,89.17,150.81,28.16,25.35,114.67,64.64,36.79,46.62,40.45,64.57,134.87,18.21,115.44
Y1-M05-D16,63.77,162.98,189.51,111.21,12.49,8.26,107.55,24.6,56.88,81.5,210.42,210.98,88.27,146.74,28.41,25.54,114.39,66.03,37.56,48.41,41.41,60.97,133.65,16.88,120.22
Y1-M05-D17,63.84,161.93,187.63,109.5,12.5,7.95,109.48,25.3,56.94,81.94,204.95,210.53,91.65,146.15,28.84,25.52,114.86,66.57,37.55,48.9,40.76,58.57,132.11,16.11,119.35
Y1-M05-D18,64.27,161.87,183.5,108.74,12.16,7.82,110.9,25.56,58.48,82.63,210.28,219.11,93.08,147.33,28.5,25.72,115.43,64.55,37.69,49.61,41.2,59.49,131.47,16.25,119.45
Y1-M05-D19,63.92,161.01,184.01,104.83,11.7,7.72,111.42,25.22,59.43,84.18,212.6,219.54,97.04,146.42,28.05,26.08,115.91,64.52,37.42,50.27,41.44,57.47,134.48,15.81,122.57
Y1-M05-D20,63.26,160.14,182.82,108.05,11.69,7.69,108.74,24.62,60.74,80.16,218.72,218.57,96.55,144.78,27.75,25.87,117.05,65.35,37.05,49.91,41.46,57.46,131.93,15.65,114.82
Y1-M05-D23,63.41,162.51,181.42,108.91,12.17,8.01,106.11,24.27,60.68,80.44,223.25,218.89,95.43,145.78,27.08,25.99,117.09,64.36,37.33,50.49,41.73,55.7,135.74,16.63,123.5
Y1-M05-D24,62.69,161.76,180.88,105.39,11.69,8.12,106.09,24.2,62.64,84.05,210.45,213.38,96.46,144.51,27.69,26.04,117.12,66.96,37.27,51.5,41.14,55.77,135.69,16.95,131.41
Y1-M05-D25,62.68,159.18,179.32,103.1,11.77,8.39,106.35,23.99,63.8,119.78,204.83,213.9,97.18,146.0,28.21,26.26,117.08,69.63,37.45,51.39,40.87,51.76,132.55,16.43,125.74
Y1-M05-D26,62.37,160.32,177.27,104.6,11.27,8.69,105.53,23.99,64.38,109.6,201.24,214.99,94.99,149.07,27.72,26.52,117.05,72.83,38.87,50.83,40.27,49.55,133.16,16.41,130.57
Y1-M05-D27,62.35,160.52,176.82,106.86,11.18,8.54,109.39,24.61,67.63,104.69,207.77,219.01,97.72,147.71,27.57,26.56,117.38,74.71,38.76,51.47,39.38,47.98,134.37,16.15,133.72
Y1-M05-D30,63.62,162.96,184.87,107.0,11.42,7.97,104.78,24.32,68.88,102.02,206.41,219.59,101.19,151.98,27.44,26.43,116.07,70.7,38.82,50.69,39.78,46.56,136.26,15.92,135.96
Y1-M05-D31,64.12,164.08,182.71,108.51,11.4,8.15,108.49,23.68,67.79,104.86,197.44,213.21,101.13,154.54,27.98,26.28,117.59,68.69,39.8,52.35,39.82,45.4,130.24,15.7,143.68
Y1-M06-D01,63.71,163.86,180.16,113.32,10.99,8.14,108.61,24.46,67.28,94.35,199.02,223.44,100.28,154.94,27.71,26.15,119.07,66.34,39.62,53.29,40.03,44.13,133.33,15.01,143.38
Y1-M06-D02,63.48,163.61,177.7,114.76,11.21,7.84,108.46,23.93,68.7,102.18,201.03,223.67,99.85,158.16,27.06,26.21,122.99,68.46,40.04,54.49,40.32,43.8,133.38,15.12,146.09
Y1-M06-D03,62.78,165.6,173.46,118.85,11.9,7.72,108.66,24.28,71.51,92.94,197.31,217.74,99.5,154.92,26.84,26.25,127.08,72.29,41.42,55.65,40.83,42.61,134.84,15.33,141.57
Y1-M06-D06,63.27,167.23,179.34,122.64,11.95,7.97,106.53,24.92,72.61,88.69,208.08,219.5,99.72,159.6,26.86,26.37,128.45,76.02,42.16,56.99,40.0,41.5,133.89,15.51,137.94
Y1-M06-D07,63.1,166.63,176.55,118.42,11.68,7.82,100.25,26.4,71.44,83.19,209.26,224.25,100.58,157.79,26.95,26.05,128.46,78.52,44.22,56.73,39.59,42.69,132.27,15.73,138.47
Y1-M06-D08,63.38,168.74,179.05,118.68,11.83,7.74,104.37,25.96,74.22,88.45,203.46,223.67,95.74,161.78,27.6,26.03,127.3,79.08,46.12,57.43,41.65,43.11,134.76,14.9,134.02
Y1-M06-D09,61.93,167.08,169.32,112.81,11.5,7.82,104.93,25.88,74.51,99.34,194.73,220.63,97.39,166.82,27.18,26.0,126.48,80.54,46.01,56.82,40.87,41.68,137.52,14.85,133.8
Y1-M06-D10,62.67,169.1,168.18,112.23,12.04,7.78,104.43,22.21,75.81,100.04,199.55,218.52,99.58,163.53,27.79,26.2,125.12,83.7,48.13,57.61,41.45,43.94,137.24,14.46,124.42
Y1-M06-D13,62.75,167.95,168.76,112.89,12.47,7.96,104.36,23.56,79.34,105.23,207.66,222.54,103.62,170.26,27.97,26.11,127.51,81.64,47.07,59.16,42.23,42.62,135.66,14.52,127.79
Y1-M06-D14,63.19,165.35,162.64,117.87,12.57,8.18,99.08,24.54,73.49,106.14,217.92,221.22,101.06,172.13,28.41,26.72,127.07,85.3,48.67,58.64,42.23,44.25,137.42,14.3,129.32
Y1-M06-D15,62.09,163.99,162.55,114.59,12.33,8.37,99.51,24.91,68.09,104.69,216.12,220.12,103.61,174.02,28.01,26.36,126.22,83.28,47.78,58.8,42.46,44.93,139.26,14.6,130.64
Y1-M06-D16,61.53,165.06,162.17,114.49,12.33,8.39,99.15,24.74,67.21,103.71,209.21,219.48,108.36,175.06,27.18,26.71,128.98,84.86,49.55,59.56,43.7,44.59,143.87,14.75,131.18
Y1-M06-D17,60.8,164.66,163.98,119.27,12.34,8.05,97.1,25.57,63.83,107.15,215.01,217.64,111.09,175.23,26.9,26.93,129.36,88.6,49.07,59.95,43.9,48.34,146.19,14.51,140.55
Y1-M06-D20,60.98,165.16,163.82,119.05,12.41,8.06,95.41,24.5,62.23,99.37,213.55,214.37,111.08,170.0,26.39,27.39,129.76,88.01,49.19,60.07,45.11,51.75,142.35,14.27,143.86
Y1-M06-D21,61.03,164.92,164.74,119.71,12.93,8.42,96.61,25.89,62.12,84.42,207.39,213.39,109.55,172.82,26.78,27.88,130.54,86.41,49.27,60.5,45.53,49.1,138.79,14.03,146.49
Y1-M06-D22,60.85,167.23,161.96,119.7,13.24,8.38,98.75,26.97,60.43,87.15,210.61,224.37,106.29,171.41,27.09,27.8,132.54,89.34,49.91,61.63,45.45,49.95,139.46,13.82,139.25
Y1-M06-D23,61.3,168.56,158.1,125.61,13.37,8.39,95.05,24.77,54.22,84.66,199.27,223.2,103.99,174.84,26.84,28.31,134.25,92.73,48.88,61.93,45.05,48.86,142.65,13.71,142.63
Y1-M06-D24,61.17,168.38,160.57,126.88,13.88,8.45,95.36,24.96,54.1,84.27,203.63,222.62,109.56,175.75,27.66,28.48,138.21,96.73,49.17,62.95,44.08,47.92,140.64,14.09,136.67
Y1-M06-D27,61.95,170.19,165.16,133.37,13.52,8.37,97.15,24.67,57.56,84.67,202.73,215.93,108.12,173.05,27.95,28.2,138.02,95.39,49.39,61.24,42.96,49.69,143.72,13.89,145.73
Y1-M06-D28,63.04,169.79,162.25,134.05,13.14,8.45,96.95,24.95,55.72,88.87,205.53,214.96,111.06,169.36,27.46,28.09,136.14,95.66,48.31,60.01,43.72,55.75,145.13,14.05,144.62
Y1-M06-D29,62.58,167.33,162.97,135.92,13.13,7.94,98.4,24.0,55.0,91.53,202.67,220.38,111.57,175.27,27.72,28.07,137.5,96.43,49.24,60.9,45.4,58.29,144.61,14.64,152.64
Y1-M06-D30,63.44,167.08,159.81,133.63,13.06,7.73,95.95,26.1,53.56,91.65,199.95,222.0,110.64,173.83,27.03,28.41,139.34,98.16,50.9,62.7,45.13,57.72,142.2,14.66,154.54
Y1-M07-D01,63.8,166.46,162.06,126.9,13.05,8.09,97.36,24.26,52.48,91.2,206.52,226.02,111.37,169.04,27.0,28.58,137.95,93.69,50.78,61.44,45.15,59.49,142.19,14.99,150.36
Y1-M07-D04,64.67,165.16,165.12,126.63,13.1,8.34,97.08,24.67,56.53,90.85,211.33,228.47,110.48,170.35,27.25,28.73,137.03,95.89,50.42,60.7,44.68,60.82,144.19,15.02,151.89
Y1-M07-D05,64.92,168.31,173.03,130.59,13.94,8.24,96.25,24.26,57.22,93.57,207.03,227.43,106.79,166.13,27.82,29.45,136.94,99.56,51.91,59.77,45.76,64.12,145.14,15.62,165.8
Y1-M07-D06,66.01,168.04,174.46,133.0,14.88,8.31,96.85,25.34,58.88,96.77,205.24,225.65,105.18,161.59,28.05,29.42,137.05,101.97,52.06,59.29,45.23,62.43,140.39,15.55,158.82
Y1-M07-D07,66.8,165.34,169.8,132.32,15.07,8.26,96.11,24.46,60.24,97.79,194.79,225.26,104.3,158.78,28.18,29.04,135.43,100.52,51.57,58.5,43.54,64.39,138.02,15.27,161.72
Y1-M07-D08,68.59,165.59,162.99,125.31,16.27,8.51,98.94,22.82,61.57,97.72,188.7,225.95,102.55,154.98,27.88,28.69,135.26,100.84,52.68,58.17,43.49,61.29,139.21,15.24,168.1
Y1-M07-D11,68.36,165.8,170.04,126.19,16.16,8.26,96.47,24.27,60.91,98.22,190.62,226.11,103.31,157.29,27.89,28.81,135.39,105.09,54.5,60.53,45.01,62.68,137.39,15.01,169.54
Y1-M07-D12,69.32,165.23,169.61,123.34,16.62,7.74,95.53,24.1,59.67,93.9,192.75,222.27,102.98,159.85,28.13,28.95,134.81,105.17,52.99,61.13,43.52,67.05,132.49,14.42,160.38
Y1-M07-D13,70.52,167.43,167.14,125.91,16.16,7.67,96.99,24.44,59.82,95.2,186.54,215.12,99.73,159.35,27.63,28.59,130.96,99.19,54.02,60.04,43.72,66.56,131.07,15.45,155.81
Y1-M07-D14,70.48,166.48,171.11,125.59,16.94,7.77,94.21,23.91,59.02,93.09,189.39,212.19,96.53,149.12,27.54,28.27,130.86,97.5,55.79,58.12,43.8,65.11,124.87,15.34,156.69
Y1-M07-D15,68.96,166.28,157.44,122.03,16.72,8.13,97.48,25.2,59.63,92.87,185.55,212.08,98.36,153.92,28.17,28.77,131.67,97.22,55.59,58.29,43.74,66.18,122.59,16.4,158.89
Y1-M07-D18,69.1,167.8,155.7,121.78,16.44,8.04,99.99,25.0,59.93,93.42,184.21,213.1,98.04,155.28,28.92,28.82,131.91,94.12,53.87,56.18,43.56,64.54,125.5,16.46,155.65
Y1-M07-D19,69.68,166.88,153.78,121.84,16.58,8.58,105.16,24.86,60.5,96.32,184.23,219.52,97.86,153.62,29.05,29.03,134.21,96.08,52.61,56.21,45.34,60.93,126.03,15.62,150.72
Y1-M07-D20,68.65,165.46,147.51,114.45,17.34,8.55,101.87,24.59,63.16,96.52,176.58,220.62,100.02,156.27,28.04,29.23,134.22,101.52,55.08,57.23,46.0,59.01,120.46,16.19,155.97
Y1-M07-D21,68.14,165.67,139.72,118.85,17.03,8.25,99.06,22.85,64.31,96.76,177.04,220.98,97.1,154.88,28.27,29.16,131.93,105.18,54.22,56.35,46.22,57.53,116.43,16.88,158.77
Y1-M07-D22,68.88,166.92,133.9,120.75,16.45,8.44,99.35,23.52,63.74,102.5,179.78,218.26,97.92,151.36,27.99,29.3,130.49,104.95,54.78,57.03,46.23,58.37,113.97,16.15,153.76
Y1-M07-D25,68.23,166.92,134.11,122.89,16.83,8.56,98.9,24.54,66.82,101.67,183.75,220.65,102.26,154.96,27.89,29.03,131.37,96.64,53.34,55.78,47.04,57.56,114.19,16.49,158.1
Y1-M07-D26,68.0,164.4,130.7,117.22,16.32,8.06,97.48,23.35,66.81,103.63,183.56,220.3,102.28,155.39,27.51,29.19,131.81,95.63,53.06,56.59,47.01,55.27,117.11,16.88,151.2
Y1-M07-D27,67.89,162.46,126.0,117.52,15.53,7.69,102.54,23.18,68.42,106.74,186.51,223.66,99.78,151.51,27.58,28.93,130.69,97.02,53.97,56.28,47.71,55.57,114.76,17.15,148.76
Y1-M07-D28,68.42,163.76,129.05,121.46,15.19,7.86,103.64,23.34,70.09,109.75,194.36,224.89,99.61,150.51,27.64,28.88,129.6,99.41,54.29,55.32,47.57,56.44,119.0,17.3,145.74
Y1-M07-D29,67.25,160.99,123.54,115.49,14.12,7.96,103.85,21.98,72.21,106.0,194.08,228.0,100.63,158.42,27.53,28.36,131.48,102.35,53.31,56.75,47.31,61.96,123.26,17.72,149.2
Y1-M08-D01,66.96,162.2,123.32,120.09,14.91,8.15,102.93,20.66,71.53,106.84,192.99,226.57,100.39,153.39,26.88,28.31,135.23,102.4,51.91,56.57,47.58,60.32,121.26,17.32,137.18
Y1-M08-D02,66.46,163.87,122.58,120.33,15.45,8.37,106.56,21.77,72.7,107.09,198.46,225.89,97.99,147.66,27.83,28.33,135.39,104.16,53.08,56.95,49.02,56.25,124.04,17.74,138.71
Y1-M08-D03,66.03,164.92,125.07,119.59,15.68,8.22,108.65,21.47,73.78,107.4,195.37,220.77,100.5,152.52,27.11,28.5,135.73,105.99,54.3,58.46,48.91,53.95,119.39,18.1,147.28
Y1-M08-D04,64.93,164.98,127.41,119.95,15.46,7.98,106.16,21.74,77.62,113.0,195.94,220.55,100.5,160.16,27.42,28.92,138.0,106.31,54.93,59.31,49.96,51.34,117.87,18.18,148.35
Y1-M08-D05,65.52,162.98,125.24,121.7,14.49,7.62,108.12,22.64,78.93,115.98,199.34,220.76,104.43,156.87,27.45,29.08,136.95,104.67,55.55,58.94,49.13,51.24,122.71,17.45,151.64
Y1-M08-D08,66.85,165.68,124.38,122.23,14.88,7.67,107.01,22.74,80.12,113.14,189.91,216.4,109.17,159.8,27.32,28.65,137.53,106.9,54.35,59.85,48.62,48.6,120.85,16.82,144.75
Y1-M08-D09,66.22,166.27,128.66,123.35,15.26,7.69,104.28,23.12,82.13,111.81,195.19,220.19,111.69,160.4,26.27,28.05,138.18,105.93,53.01,60.67,48.9,47.6,120.88,16.61,141.93
Y1-M08-D10,65.66,165.54,126.49,123.51,14.35,7.44,102.09,22.78,83.51,111.6,191.67,220.01,110.19,150.18,26.1,28.38,142.97,110.68,53.15,62.91,49.85,48.51,119.84,16.22,138.0
Y1-M08-D11,65.74,167.31,126.33,126.64,13.6,7.65,102.57,23.1,86.35,111.5,190.86,226.32,108.3,146.94,26.42,29.01,146.57,113.78,56.3,65.78,49.89,50.51,121.56,16.49,136.13
Y1-M08-D12,65.77,167.62,128.91,123.1,13.45,7.87,104.72,24.47,87.5,110.87,187.35,223.35,107.38,147.96,26.55,29.17,144.98,115.84,55.47,66.53,48.37,50.97,119.91,16.37,132.94
Y1-M08-D15,67.16,170.69,135.27,127.7,14.22,8.05,104.38,24.67,86.3,111.55,183.04,222.26,108.03,144.67,26.85,29.58,146.86,121.39,56.18,67.9,48.4,53.25,121.61,17.27,136.17
Y1-M08-D16,66.55,170.31,130.11,127.33,14.63,8.22,103.23,25.03,84.86,112.07,180.26,216.11,107.71,144.4,26.13,30.11,147.54,124.07,57.95,68.55,47.96,55.35,119.52,17.29,135.0
Y1-M08-D17,67.32,171.05,128.27,127.23,14.69,8.01,102.05,26.44,81.85,118.16,174.98,211.14,109.12,141.82,26.68,29.71,150.93,121.48,59.94,69.67,47.45,52.1,113.95,17.73,122.52
Y1-M08-D18,66.91,170.77,130.19,127.93,14.41,7.85,96.79,26.29,82.59,118.6,176.43,215.22,111.5,132.92,27.42,30.23,152.75,123.77,64.41,71.14,47.49,51.51,113.07,18.11,117.58
Y1-M08-D19,66.84,170.27,132.49,126.75,14.77,7.37,98.04,25.26,80.18,119.33,187.61,215.99,116.47,137.07,28.26,30.15,152.82,123.17,62.79,70.03,48.13,49.64,114.2,17.63,120.57
Y1-M08-D22,65.2,169.07,129.71,132.39,15.26,7.48,95.19,26.78,74.91,118.12,199.89,219.09,114.31,137.0,28.38,30.27,151.69,119.92,62.07,69.88,47.4,49.37,112.22,16.68,123.92
Y1-M08-D23,65.74,170.14,130.09,135.22,15.45,7.51,93.75,27.04,74.87,123.95,206.79,219.16,115.57,139.64,28.49,29.77,150.97,116.59,60.51,68.69,46.43,48.55,108.25,15.98,129.81
Y1-M08-D24,67.65,170.17,128.65,142.63,17.0,7.09,98.74,27.58,74.47,126.24,205.39,218.97,117.5,146.76,28.71,29.78,148.71,115.44,61.14,68.58,46.82,48.58,109.45,16.15,129.39
Y1-M08-D25,67.02,167.73,124.44,143.2,17.2,7.05,98.25,27.61,78.23,130.49,202.8,222.66,119.01,150.93,28.52,29.61,148.5,113.32,61.87,69.16,46.73,48.45,108.53,15.98,125.14
Y1-M08-D26,67.44,167.97,128.96,142.42,17.64,7.44,99.46,27.89,82.75,129.08,199.45,227.77,120.35,158.34,29.15,30.0,146.63,112.03,60.91,68.29,46.99,49.35,106.43,15.32,130.74
Y1-M08-D29,68.04,168.67,124.82,144.87,17.79,7.26,100.97,27.51,80.21,129.12,203.29,229.45,118.71,156.33,28.83,30.12,147.82,108.63,63.65,68.73,47.2,46.74,109.04,15.94,139.4
Y1-M08-D30,67.47,167.26,123.08,143.0,17.3,7.61,104.01,28.66,81.23,134.33,204.53,222.0,117.4,152.22,28.34,30.44,147.17,109.62,60.37,67.99,49.38,43.29,110.17,15.87,129.95
Y1-M08-D31,67.59,169.06,124.58,133.22,17.1,7.45,102.16,30.6,80.92,132.91,193.83,223.54,120.82,147.37,28.13,30.07,147.67,105.76,57.95,67.24,48.3,43.41,109.14,15.35,127.58
Y1-M09-D01,68.25,171.58,124.59,129.52,17.95,7.71,101.84,29.89,78.88,142.93,197.85,219.19,119.34,143.34,28.0,29.62,147.15,107.55,59.85,68.31,50.24,48.04,111.97,15.74,127.0
Y1-M09-D02,68.13,170.84,122.84,128.35,17.15,7.55,105.49,28.75,79.28,132.49,203.63,220.0,122.08,146.79,28.07,30.29,151.3,108.88,60.45,71.01,50.15,46.59,109.48,16.08,123.56
Y1-M09-D05,69.24,172.14,123.6,129.04,17.08,7.43,103.34,29.06,80.92,130.4,201.61,219.97,121.9,145.53,28.02,30.2,150.29,104.92,58.71,71.37,49.69,46.99,106.48,15.3,123.53
Y1-M09-D06,68.74,170.95,126.85,126.38,16.59,7.35,99.15,28.35,80.24,127.39,196.04,218.87,121.28,146.82,27.94,29.64,147.06,105.57,57.91,71.29,50.07,49.93,106.07,15.81,130.31
Y1-M09-D07,68.42,171.31,128.47,128.42,17.05,7.11,97.38,27.84,74.99,121.6,202.95,221.75,123.43,145.0,28.84,29.91,147.68,105.47,57.67,70.93,50.72,53.66,105.26,16.59,129.32
Y1-M09-D08,67.53,169.01,128.26,124.96,16.67,7.28,98.97,25.87,74.27,126.13,199.99,217.94,124.62,142.13,28.47,29.92,145.09,104.17,57.13,71.58,50.14,56.84,107.71,16.69,128.74
Y1-M09-D09,67.22,167.38,129.88,120.19,16.83,7.46,105.33,27.03,77.11,124.71,194.89,228.07,126.25,145.92,29.1,29.46,146.61,103.63,56.6,69.5,49.37,57.26,111.24,16.96,123.5
Y1-M09-D12,65.66,163.83,126.37,113.99,16.12,7.85,109.34,27.17,78.0,122.87,200.99,223.73,125.49,142.52,29.08,29.33,146.61,102.52,56.04,69.33,50.14,58.02,114.89,16.95,124.78
Y1-M09-D13,65.0,163.3,126.63,111.39,16.5,8.09,108.56,29.12,79.64,123.53,199.73,220.44,124.45,144.31,27.68,29.38,147.06,103.67,55.93,70.37,47.62,57.66,114.09,16.75,127.79
Y1-M09-D14,66.59,164.15,129.74,110.09,16.92,7.65,110.23,25.91,78.67,121.37,187.03,221.83,124.66,144.29,27.38,28.99,148.36,100.01,54.12,69.94,46.62,55.61,113.79,16.95,132.68
Y1-M09-D15,64.96,162.84,127.86,107.77,16.21,7.36,103.46,27.22,80.32,113.41,194.27,220.34,125.2,138.55,26.91,29.51,148.04,107.55,55.3,71.43,45.75,54.49,116.27,17.06,134.78
Y1-M09-D16,64.94,163.64,129.41,102.91,16.36,7.54,100.82,26.49,77.39,110.75,197.58,225.16,126.76,141.17,27.43,29.03,147.37,106.56,53.67,70.4,45.8,54.89,113.4,16.89,135.68
Y1-M09-D19,64.89,162.27,133.36,103.03,16.15,7.69,102.77,25.8,76.53,112.35,212.35,231.82,126.0,144.47,28.12,29.16,146.87,102.81,54.0,71.41,45.54,51.52,117.29,16.71,137.09
Y1-M09-D20,65.07,161.2,128.85,103.49,14.79,7.78,92.82,26.94,79.06,111.57,211.57,233.27,123.86,151.09,27.85,29.43,145.07,99.08,52.98,72.92,44.56,50.48,119.86,16.93,134.91
Y1-M09-D21,65.36,161.08,127.65,103.88,15.06,7.72,92.62,27.28,80.37,113.61,218.48,228.92,121.4,149.13,27.86,29.33,146.85,101.64,53.49,75.86,45.92,49.73,122.67,17.85,133.39
Y1-M09-D22,65.56,160.9,133.6,108.68,14.46,7.69,89.9,25.36,75.45,111.46,206.69,227.82,118.97,143.06,27.01,29.31,146.64,98.14,53.03,75.08,47.27,51.86,124.91,18.21,127.13
Y1-M09-D23,64.57,160.68,131.4,110.15,14.36,7.56,92.77,26.86,71.22,110.28,192.67,220.23,117.59,137.84,26.71,28.98,143.84,97.22,55.19,76.16,46.27,50.39,124.47,18.17,119.83
Y1-M09-D26,63.82,160.1,127.11,107.57,14.61,7.48,94.57,26.02,71.49,109.37,188.81,220.99,116.95,136.77,26.9,29.4,141.16,93.92,54.63,75.19,44.98,50.84,123.18,17.29,122.51
Y1-M09-D27,64.14,162.68,124.24,104.06,14.21,7.93,93.2,27.16,71.68,107.1,182.76,217.43,114.91,134.52,26.63,29.15,142.89,97.98,52.61,74.49,45.31,49.13,123.37,17.64,126.78
Y1-M09-D28,63.69,163.05,129.31,105.27,14.03,7.57,95.49,26.51,71.94,111.09,188.51,221.26,119.79,140.3,26.63,29.01,143.66,99.27,53.59,75.11,45.43,50.58,126.94,17.99,126.04
Y1-M09-D29,63.24,164.14,132.66,108.53,14.11,7.52,95.64,26.21,75.55,114.82,190.7,213.4,121.92,135.05,26.86,29.09,145.29,96.55,52.0,74.45,46.04,50.4,126.08,16.75,118.2
